epoch,batches,loss
0,57631,1.7875864545933073
1,57631,1.7420133000190954
2,57631,1.7007436133606186
3,57631,1.449097760572712
4,57631,1.6734509400900224
5,57631,1.6397118036223872
6,57631,1.6836733644816662
7,57631,1.7892438110355264
8,57631,1.757416077218274
9,57631,1.7892540480175778
10,57631,1.638640605511495
11,57631,1.7855916788819068
12,57631,1.7723366438909804
13,57631,1.707338066563282
14,57631,1.689714729806629
15,57631,1.633630554278089
16,57631,1.5900912374438303
17,57631,1.7066483709605746
18,57631,1.514036833677254
19,57631,1.6060222560596855
20,57631,1.6229029579496768
21,57631,1.5597075301682275
22,57631,1.610954653522469
23,57631,1.7493889544400312
24,57631,1.6976768914506328
